4.10,131.00,success
4.40,1766.00,success
4.20,129.00,not success
4.30,2414.00,not success
4.30,214.00,not success
4.20,1888.00,not success
4.20,6695.00,success
4.40,52.00,not success
4.10,127.00,not success
4.20,151.00,not success
4.40,198.00,not success
4.60,514.00,not success
4.60,191.00,not success
4.60,2600.00,not success
4.80,6498.00,success
3.70,248.00,not success
4.70,1262.00,not success
4.20,110.00,not success
3.60,8.00,not success
0.00,0.00,not success
4.60,16339.00,success
4.40,77640.00,success
4.70,3158.00,success
4.50,321.00,not success
4.60,17194.00,success
4.20,9761.00,success
4.80,37.00,not success
4.50,1225.00,not success
4.40,1440.00,success
4.40,18.00,not success
0.00,0.00,not success
4.20,1278.00,not success
4.40,751.00,success
4.80,130.00,not success
4.40,3595.00,success
4.00,1235.00,success
4.40,1791.00,success
4.70,6103.00,success
2.80,1343.00,success
3.60,1979.00,success
3.90,22056.00,success
4.10,2428.00,success
4.10,33134.00,success
4.40,6354.00,success
4.50,4524.00,success
4.20,66.00,not success
4.20,6531.00,success
4.20,37006.00,success
4.80,676.00,not success
4.30,58441.00,success
4.10,139.00,not success
4.40,8454.00,success
4.30,2271.00,success
4.30,28124.00,success
4.20,15984.00,success
4.00,45.00,not success
4.10,21800.00,success
3.90,199.00,not success
3.40,752.00,not success
4.10,253.00,not success
4.20,2359.00,not success
3.50,421.00,not success
4.40,1545.00,not success
4.20,59.00,not success
3.70,4722.00,success
4.30,1311.00,success
4.30,548.00,not success
4.50,1049.00,not success
4.90,1047.00,not success
4.60,924.00,not success
3.80,13996.00,success
4.20,3901.00,success
4.20,55552.00,success
4.50,19669.00,success
3.80,118.00,not success
4.40,445.00,not success
4.30,1081.00,success
0.00,0.00,not success
4.20,5.00,not success
3.70,1748.00,not success
4.80,64.00,not success
4.10,6281.00,success
4.30,4066.00,success
4.40,12836.00,success
4.70,2672.00,success
4.60,144.00,not success
4.30,394.00,not success
3.60,153.00,not success
4.20,1009.00,not success
4.40,221.00,not success
3.60,307.00,not success
4.40,70.00,not success
4.50,3231.00,success
4.50,12172.00,success
4.20,1136.00,not success
0.00,0.00,not success
3.80,21107.00,success
4.10,715.00,success
4.30,4799.00,success
1.60,7.00,not success
3.90,1058.00,not success
4.50,8860.00,success
4.50,2715.00,success
4.10,6374.00,success
4.20,1354.00,not success
4.80,114.00,not success
4.40,8927.00,success
4.40,696.00,not success
4.40,44840.00,success
3.80,321.00,not success
4.60,88.00,not success
4.50,109094.00,success
4.20,141.00,not success
4.20,72.00,not success
2.70,526.00,not success
4.40,70978.00,success
3.70,5101.00,success
3.00,2657.00,success
4.60,195558.00,success
4.20,6613.00,success
4.70,571.00,not success
4.60,358.00,not success
3.80,3404.00,success
4.30,269.00,not success
4.60,658.00,not success
4.60,7047.00,success
4.30,6644.00,success
4.60,590.00,not success
4.90,17.00,not success
4.70,201.00,not success
4.70,4862.00,success
4.40,31032.00,success
4.40,156998.00,success
3.40,28.00,not success
4.40,1103.00,not success
4.80,10918.00,success
4.30,1395.00,not success
4.80,9765.00,success
4.80,4393.00,success
4.10,236.00,not success
4.90,17322.00,success
3.80,22962.00,success
4.40,618.00,not success
4.60,325.00,not success
4.70,6086.00,not success
4.50,10434.00,success
4.10,16.00,not success
4.50,7635.00,success
4.20,31245.00,success
4.30,6562.00,success
4.50,30578.00,success
3.00,199.00,not success
4.30,48.00,not success
4.00,801.00,not success
4.50,315557.00,success
4.50,7871.00,success
4.90,198.00,not success
3.90,82.00,not success
4.30,53889.00,success
4.10,27586.00,success
4.10,6649.00,success
4.50,23893.00,success
4.40,2493.00,not success
3.70,9217.00,success
4.00,27.00,not success
3.90,4085.00,success
4.50,7559.00,success
4.40,31403.00,success
4.50,127571.00,success
4.20,7716.00,success
3.90,19623.00,success
4.20,88.00,not success
4.40,969.00,success
4.40,46.00,not success
3.60,1104.00,not success
3.80,32.00,not success
4.20,454.00,success
4.40,7508.00,success
4.30,849.00,not success
4.40,64741.00,success
3.40,831.00,not success
4.40,1087.00,success
4.50,5251.00,success
3.70,11317.00,success
3.40,146.00,not success
4.50,99.00,not success
3.90,84.00,not success
4.50,2573.00,not success
3.80,42864.00,success
3.80,1147.00,success
4.10,23964.00,success
4.60,53239.00,success
4.10,8052.00,success
4.10,14228.00,success
4.30,246.00,not success
4.10,2661.00,success
3.30,993.00,not success
4.30,30072.00,success
4.10,536.00,not success
4.70,261.00,not success
4.70,4587.00,not success
4.50,1351.00,not success
4.50,86283.00,success
4.80,95401.00,success
4.70,50.00,not success
4.50,68150.00,success
4.00,29164.00,success
4.10,9000.00,success
3.20,866.00,not success
4.30,269.00,not success
4.80,114.00,not success
4.40,16.00,not success
4.60,280.00,not success
3.80,94.00,not success
4.30,13883.00,success
4.20,4419.00,success
4.30,567.00,not success
4.50,2223.00,success
4.40,35.00,not success
4.40,5814.00,success
3.80,1506.00,success
4.40,887.00,not success
4.20,53.00,not success
3.50,13.00,not success
2.60,119.00,not success
4.20,2765.00,success
4.40,2036.00,success
3.80,12971.00,success
4.50,8.00,not success
3.40,942.00,not success
4.20,6035.00,success
4.10,374.00,not success
4.40,35186.00,success
4.40,6648.00,success
4.10,10218.00,success
3.90,11.00,not success
3.20,1135.00,success
4.60,741.00,not success
4.40,19062.00,success
3.70,379.00,not success
4.40,4300.00,success
4.20,11146.00,success
4.40,3864.00,not success
4.60,2382.00,not success
4.40,948.00,success
3.90,570.00,not success
4.30,122.00,not success
4.10,140.00,not success
4.50,66.00,not success
4.30,3840.00,not success
3.30,8667.00,success
4.00,1774.00,not success
4.10,166.00,not success
3.10,627.00,not success
4.60,28376.00,success
3.80,263.00,not success
4.40,4662.00,success
3.50,10.00,not success
4.80,9.00,not success
4.30,1084.00,not success
4.00,9914.00,success
4.40,76.00,not success
4.40,321.00,not success
4.30,26553.00,success
4.60,42977.00,success
3.50,43818.00,success
4.10,21627.00,success
4.00,160070.00,success
3.90,116.00,not success
3.60,212.00,not success
4.70,18848.00,success
4.20,569.00,not success
4.00,754.00,not success
4.50,8256.00,success
3.60,1295.00,not success
3.80,244.00,not success
4.60,1468.00,not success
4.30,4863.00,success
3.20,86.00,not success
4.10,21427.00,success
4.10,12856.00,success
2.00,15.00,not success
4.60,203300.00,success
4.20,251725.00,success
4.90,7.00,not success
4.50,71887.00,success
4.40,54210.00,success
4.20,3834.00,success
4.20,622.00,success
3.90,66.00,not success
4.20,26187.00,success
4.40,160043.00,success
3.90,10210.00,success
4.20,29238.00,success
3.90,840.00,success
4.00,5446.00,success
4.70,42.00,not success
4.50,860.00,not success
4.60,62357.00,success
3.60,907.00,not success
4.40,11611.00,success
4.10,6677.00,success
4.00,52.00,not success
